78130 00821,98453 94494,1/9/16 6:01,186
(080)45291968,90365 06212,1/9/16 6:30,9
78290 99865,89071 31755,1/9/16 6:46,9
(080)69245029,(044)49481100,1/9/16 7:34,9
89071 50880,(04546)388977,1/9/16 9:29,9
92415 66985,(080)43685310,1/9/16 9:37,9
(080)35986130,97402 57057,1/9/16 10:04,9
(022)62120910,98447 12671,1/9/16 10:15,9
(080)43685310,95263 76972,1/9/16 13:40,9
90192 87313,(080)33251027,1/9/16 18:18,9
78130 00821,98453 94494,1/9/16 20:48,9
98444 95768,99003 47921,1/9/16 22:19,9
90352 50054,96566 40412,2/9/16 10:05,9
90355 10919,81510 47188,2/9/16 17:10,9
97429 02055,81510 47188,2/9/16 22:26,9
(080)47459867,98440 65896,3/9/16 9:11,9
89071 32787,(044)48154960,3/9/16 12:00,9
97385 70012,94497 44333,3/9/16 13:30,9
97399 92703,78136 42599,3/9/16 14:09,9
(080)34121098,81513 36123,3/9/16 14:27,9
97410 27512,(080)41712046,3/9/16 16:15,9
(044)45838604,(0821)4816394,3/9/16 16:53,9
95269 20533,97449 50000,3/9/16 18:10,9
(080)43562014,(080)22759842,3/9/16 19:43,9
78299 99223,92424 51984,3/9/16 20:18,9
(0471)2225098,97406 06245,3/9/16 22:09,9
(022)68535788,(080)65023950,4/9/16 6:30,9
(080)62963633,98443 99204,4/9/16 9:54,9
94488 97308,(080)21697299,4/9/16 9:56,9
93428 98469,(080)66044294,4/9/16 10:16,9
97448 02140,(022)34715405,4/9/16 13:04,9
78295 60375,83015 22251,4/9/16 17:47,9
(040)69695864,97406 93118,4/9/16 18:22,9
78138 56841,93416 07259,4/9/16 20:22,9
74066 31484,98454 90038,4/9/16 23:59,9
93412 66159,98454 07778,5/9/16 7:05,9
97416 29480,92426 72402,5/9/16 8:49,9
(0471)6537077,78136 54214,5/9/16 11:00,9
(080)34121098,81513 36123,5/9/16 18:40,9
(080)33251027,(080)49796269,5/9/16 21:58,9
78136 54214,(0471)6537077,5/9/16 23:28,9
98447 62998,(080)46304537,5/9/16 23:37,9
(080)32647101,92414 22596,5/9/16 23:54,9
(080)41095396,81510 47188,6/9/16 14:35,9
(080)34932254,81513 36123,6/9/16 17:15,9
(044)49481100,(080)69245029,7/9/16 6:47,9
97427 87999,(04344)322628,7/9/16 8:07,9
94495 34273,(080)39991213,7/9/16 8:45,9
89076 07067,90089 69682,7/9/16 11:33,9
92424 51984,78299 99223,7/9/16 13:03,9
93416 07259,78132 18081,7/9/16 15:32,9
97390 23922,90359 52497,7/9/16 17:34,9
93426 76415,(080)20123809,8/9/16 6:03,9
(044)48154960,89071 32787,8/9/16 8:22,9
97414 62027,95267 70383,8/9/16 9:31,9
(080)45687418,93414 19669,8/9/16 10:03,9
99009 32475,(011)47486239,8/9/16 10:36,9
90355 49499,(080)37913009,8/9/16 12:23,9
97380 60551,81524 55552,8/9/16 12:31,9
98459 20681,(080)35538852,8/9/16 13:04,9
97385 35042,93418 41992,8/9/16 13:17,9
93415 21881,(0821)4753474,8/9/16 15:01,9
98440 02823,81515 42171,8/9/16 16:09,9
(080)62164823,(022)22288051,8/9/16 16:55,9
(080)69564399,96569 95359,8/9/16 18:22,9
87146 31956,97384 69866,8/9/16 23:24,9
90352 50054,96566 40412,8/9/16 23:34,9
(080)35121497,90087 42537,9/9/16 14:47,9
78295 48262,70121 27677,9/9/16 17:10,9
81522 26166,(080)46566171,9/9/16 18:55,9
(080)46304537,98447 62998,9/9/16 19:21,9
(04344)228249,98453 46196,9/9/16 21:05,9
(044)49868415,98447 63400,9/9/16 22:27,9
74066 93594,78136 65840,9/9/16 22:33,9
94492 23068,90359 91512,9/9/16 23:11,9
95262 44233,97393 04671,10/9/16 8:23,9
83013 02552,94499 46077,10/9/16 12:16,9
90199 67471,90351 49472,10/9/16 16:29,9
87144 42283,98458 13389,10/9/16 17:50,9
(080)68104927,87146 31956,10/9/16 20:11,9
90355 10919,(04344)322628,11/9/16 9:08,9
(011)68486606,(080)32255824,11/9/16 13:05,9
(033)25441815,94489 82688,11/9/16 13:21,9
(080)62164823,(080)32255824,11/9/16 15:30,9
92411 96415,93435 21961,11/9/16 18:28,9
(040)66729318,97386 20071,11/9/16 19:35,9
(080)35538852,98459 20681,11/9/16 21:42,9
(080)62342282,95263 76972,11/9/16 22:30,9
90194 00845,97416 17124,12/9/16 14:21,9
97399 92703,97421 07528,12/9/16 17:50,9
90087 42537,(080)35121497,12/9/16 20:34,9
84319 52539,(080)45547058,12/9/16 21:43,9
98446 66723,83019 53227,13-09-2016 06:03:29,9
(080)31982490,93434 31551,13-09-2016 09:44:21,9
97406 74488,90358 98099,13-09-2016 14:12:24,9
(044)49481100,(080)69245029,13-09-2016 16:24:25,9
(044)41581342,97429 02055,13-09-2016 16:41:12,9
81510 47188,97429 02055,13-09-2016 20:07:45,9
97385 29751,(022)30044349,13-09-2016 21:09:26,9
98453 46196,94005 06213,13-09-2016 23:50:30,9
81525 12041,90356 11723,14-09-2016 07:24:48,9
(080)41336994,97406 93118,14-09-2016 07:30:10,9
(080)20383942,81517 73746,14-09-2016 07:59:52,9
77950 18278,89078 69605,14-09-2016 09:44:26,9
(080)45291968,94482 95223,14-09-2016 10:21:15,9
(080)40929452,77956 55474,14-09-2016 10:48:58,9
90197 38885,98445 85687,14-09-2016 11:58:16,9
97385 29751,92428 82401,14-09-2016 17:30:04,9
(022)34715405,97448 02140,14-09-2016 18:29:51,9
87146 31956,83019 39880,15-09-2016 06:01:48,9
94482 95223,(080)45291968,15-09-2016 08:50:12,9
(080)43562014,(080)22759842,15-09-2016 09:38:59,9
98448 86633,78293 91304,15-09-2016 10:14:04,9
97428 35959,97446 95253,15-09-2016 11:31:32,9
90084 16988,93422 47940,15-09-2016 13:11:26,9
97386 20071,94499 20763,15-09-2016 17:29:56,9
(080)62342282,95263 76972,15-09-2016 22:52:46,9
94482 95223,(080)45291968,15-09-2016 23:23:06,9
(080)33251027,(080)49796269,16-09-2016 08:42:01,9
93432 24657,(044)27523585,16-09-2016 09:12:55,9
94495 03761,(04546)267875,16-09-2016 10:19:35,9
